group,service,name,externalName,description,id,shortName,externalId,active,enabled,public,isDefault,type,model,baseRateName,baseRateId,relPct,abs,baseAmountGross,currency,chainDepth,chain
M&F Stay Awhile - Monthly Stays Made Simple,Mid Stay Accommodation (new),M&F Stay Awhile - Monthly Stays Made Simple,,,754c966e-9922-4c8c-8cec-b37e00b294a1,MSAMSMS,,true,true,false,true,Private,Base,,,,,175,GBP,0,
M&F Stay Awhile – Monthly Stays Made Simple,ARCHIVE Mid Stay Accommodation,Fully Flexible,,,298713ae-eed8-495c-a82a-b35b00f16969,FF,,true,true,true,true,Public,Base,,,,,10000,GBP,0,
M&F Stay Awhile – Monthly Stays Made Simple,ARCHIVE Mid Stay Accommodation,M&F Stay Awhile – Monthly Stays Made Simple,,,6fcc1ab3-d602-4fd1-be3a-b35b00f81fe9,MSAMSMS,,true,false,false,false,Private,Base,,,,,2595,GBP,0,
M&F Stay Awhile – Monthly Stays Made Simple,Long Stay Accommodation,M&F Stay Awhile – Monthly Stays Made Simple,,,a455b696-e9dc-4069-9d1c-b35b010506bf,MSAMSMS,,false,false,false,false,Private,Base,,,,,2295,GBP,0,
Management,Management ,INTERNAL - MANAGEMENT,Management,,32d834ea-b8cb-4b6a-9187-b38400e15b2f,Management ,,true,true,true,true,Public,Base,,,,,0,GBP,0,
Marketing,Management ,INTERNAL - MARKETING,MARKETING,,48ff2df9-a4b7-4f28-9cb5-b38b00da1205,IM,,true,true,false,false,Private,Base,,,,,0,GBP,0,
Mid Stay,Short Stay Accommodation,Mid Stay 29-59 (BASE),,,98001db6-fe78-408d-a098-b441012b42cc,Mid Stay 29-59 (BASE),,true,true,false,false,Private,Base,,,,,200,GBP,0,
Monthly Stays Made Simple,Mid Stay Accommodation (new),M&F Stay Awhile - Monthly Stays Made Simple 2,M&F Stay Awhile - Monthly Stays Made Simple,,a1aff6e6-2319-4cae-ac57-b38b00d82392,MSAMSMS,,true,true,false,false,Private,Base,,,,,150,GBP,0,
Monthly Stays Made Simple 3,Mid Stay Accommodation (new),M&F Stay Awhile - Monthly Stays Made Simple 3,M&F Stay Awhile - Monthly Stays Made Simple,,9fbcda9b-6f28-4896-8120-b38b00d88e0e,MSAMSMS,,true,true,false,false,Private,Base,,,,,125,GBP,0,
NoDeposit LongStay,Long Stay Accommodation,No Deposit LongStay,Direct Long Stay,,dbe1a589-76c1-4f16-b093-b3b700aef147,NDL,,true,true,true,false,Public,Base,,,,,10000,GBP,0,
NoDeposit Monthly One,Mid Stay Accommodation (new),No Deposit M&F Stay Awhile - Monthly Stays Made Simple One,M&F Stay Awhile - Monthly Stays Made Simple,,bd613da4-b6c6-4325-9ff1-b3b700b64267,NDMSAMSMSO,,true,true,true,false,Public,Base,,,,,175,GBP,0,
NoDeposit Monthly Three,Mid Stay Accommodation (new),No Deposit M&F Stay Awhile - Monthly Stays Made Simple Three,M&F Stay Awhile - Monthly Stays Made Simple,,4e874f47-d6bc-4ca3-94e2-b3b700b69d0a,NDMSAMSMST,,true,true,true,false,Public,Base,,,,,125,GBP,0,
NoDeposit Monthly Two,Mid Stay Accommodation (new),No Deposit M&F Stay Awhile - Monthly Stays Made Simple Two,M&F Stay Awhile - Monthly Stays Made Simple,,25c66fd5-8606-4f7c-a657-b3b700b67835,NDMSAMSMST,,true,true,true,false,Public,Base,,,,,150,GBP,0,
OLD DIRECT  1 Night,Short Stay Accommodation,M&F Early Bird - Best Direct Rate.,,"Book early for even better rates. Our Early Bird Rate offers the best value for guests who plan ahead and book direct. Plus, join us in our guest kitchen for a daily help-yourself breakfast, on us. This special rate requires full payment at the time of booking and is non-refundable and non-changeable.",a2576380-948a-4dee-9182-b2dd0101e282,MEBBDR,,false,true,true,false,Public,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,0%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT  1 Night,Short Stay Accommodation,old AUTO M&F Insider - Best Flexible Rate (1N),M&F Insider - Best Flexible Rate,"Enjoy more flexibility, with our Insider Rate, you can modify or cancel your reservation up to 24 hours before your stay - an exclusive benefit when you book direct. Plus, join us in our guest kitchen for a daily help-yourself breakfast - on us!",74d492b3-be68-4f7e-b721-b18600b6eec7,oAMIBFRN,MIBFRN,true,false,true,false,Public,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,0%,40,,GBP,1,AUTO M&F Insider - Best Flexible Rate
