group,service,name,externalName,description,id,shortName,externalId,active,enabled,public,isDefault,type,model,baseRateName,baseRateId,relPct,abs,baseAmountGross,currency,chainDepth,chain
Corporates (Manual Payments),Accommodation,Partner Rate,Partner Rate,,a775fc21-78fe-46da-957f-b41e006930f4,Partner Rate,,false,true,false,false,Private,Dependent,Direct: Flexible,d4d6248f-4d38-40ec-9af2-b41c00ece88b,-15%,0,,GBP,2,Direct: Flexible → OTA BASE: Flexible
Corporates (Manual Payments),Accommodation,Partner Rate: Fixed,Partner Rate: Fixed,,a2530c1a-3807-4c74-adc5-b42000769319,Partner Rate: Fixed,,true,true,false,false,Private,Base,,,,,10000,GBP,0,
Corporates (Manual Payments),Accommodation,Regular,Regular,,b6adbc41-d3ae-415c-a55b-b41d012e4093,Regular,,false,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-10%,0,,GBP,1,OTA BASE: Flexible
Direct: Flexible,Accommodation,Direct: Flexible,M&F Insider - Best Flexible Rate,"Be one of the first to experience our brand-new Belsize Park building. Enjoy your private en-suite studio with double bed and kitchenette. Whilst enjoying a shared open kitchen, comfy guest lounge, and a private garden for when the sun shines. Enjoy daily 'help yourself' breakfasts and weekly Wine Down Fridays. This Studio-Only, Flexible Rate allows you to modify or cancel your reservation up to 24 hours before arrival - only when you book direct.",d4d6248f-4d38-40ec-9af2-b41c00ece88b,Direct: Flexible,,true,false,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-15%,0,,GBP,1,OTA BASE: Flexible
Direct: Flexible,Accommodation,M&F Insider - Best Flexible Rate,,"Be one of the first to experience our brand-new Belsize Park building. Enjoy your private en-suite studio with double bed and kitchenette. Whilst enjoying a shared open kitchen, comfy guest lounge, and a private garden for when the sun shines. Enjoy daily 'help yourself' breakfasts and weekly Wine Down Fridays. This Studio-Only, Flexible Rate allows you to modify or cancel your reservation up to 24 hours before arrival - only when you book direct.",e36d255a-dda7-4405-9681-b425011accaa,M&F Insider - Best Flexible Rate,MFFLEX,true,true,true,false,Public,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-23.30%,0,,GBP,1,OTA BASE: Flexible
Direct: Non Redundable,Accommodation,Direct: Non Redundable,M&F Early Bird - Best Direct Rate,"Be one of the first to experience our brand-new Belsize Park building. Enjoy your private en-suite studio with double bed and kitchenette. Whilst enjoying a shared open kitchen, comfy guest lounge, and a private garden for when the sun shines. Enjoy daily 'help yourself' breakfasts and weekly Wine Down Fridays. This Studio-Only, Early Bird Rate is non-refundable, non-amendable.",2249bf59-5a1d-480e-85be-b41c00ed1704,Direct: Non Redundable,,true,false,false,false,Private,Dependent,Direct: Flexible,d4d6248f-4d38-40ec-9af2-b41c00ece88b,0%,0,,GBP,2,Direct: Flexible → OTA BASE: Flexible
Direct: Non Redundable,Accommodation,M&F Early Bird - Best Direct Rate,M&F Early Bird - Best Direct Rate,"Be one of the first to experience our brand-new Belsize Park building. Enjoy your private en-suite studio with double bed and kitchenette. Whilst enjoying a shared open kitchen, comfy guest lounge, and a private garden for when the sun shines. Enjoy daily 'help yourself' breakfasts and weekly Wine Down Fridays. This Studio-Only, Early Bird Rate is non-refundable, non-amendable.",e057704c-9164-4f8b-9929-b425011b2684,M&F Early Bird - Best Direct Rate,,true,true,true,false,Public,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-31%,0,,GBP,1,OTA BASE: Flexible
Extended Stay,Accommodation,Long Stay,Long Stay,,aa6ef300-2f11-425e-b075-b41e008091d4,Long Stay,,true,true,false,false,Private,Base,,,,,50,GBP,0,
Friends & Staff,Accommodation,Friends & Family,Friends & Family,,d6086d48-dcf4-4603-8e48-b41d0127f217,Friends & Family,,false,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-25%,0,,GBP,1,OTA BASE: Flexible
Friends & Staff,Accommodation,Friends & Family,Friends & Family,,9640198f-d692-4b93-8a56-b41e006821df,Friends & Family,,true,true,false,false,Private,Dependent,Direct: Flexible,d4d6248f-4d38-40ec-9af2-b41c00ece88b,-25%,0,,GBP,2,Direct: Flexible → OTA BASE: Flexible
Friends & Staff,Accommodation,M&F Staff,M&F Staff,,2abc1d51-c1e6-4b0b-9f59-b41e00685a16,M&F Staff,,true,true,false,false,Private,Base,,,,,150,GBP,0,
Friends & Staff,Accommodation,M&F Staff,M&F Staff,,56e94a26-3329-448a-b8fb-b41d0127b096,M&F Staff,,false,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-50%,0,,GBP,1,OTA BASE: Flexible
Friends & Staff,Accommodation,Management,Management,,c6726906-c2aa-4b66-af8d-b41d012d6162,Management,,true,true,false,false,Private,Base,,,,,0,GBP,0,
Insider Flexible,Accommodation,AUTO - MASON-FIFTY,MASON-FIFTY,Launch rate,77041121-3eb0-4e21-847e-b3ed00f0ba61,AM,,false,false,false,false,Private,Base,,,,,50,GBP,0,
Insider Flexible,Accommodation,AUTO - Promotional offer 15%,Promotional Offer,Promotional offer 15% off your next stay.,c965aa66-0116-4081-a849-b3fa00edf9e4,APo,,false,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,f9df0eba-8788-4163-9c73-b3e00110df48,-15%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
